term	coefficient	std_error	z	p_value	ci_lower	ci_upper
C(biased_category)[T.asian]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	-0.004582673312064462	0.003529272170746085	-1.2984754618955014	0.19412400299473898	-0.011499919658366286	0.0023345730342373616
C(biased_category)[T.black]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	0.014813930436075885	0.0035292721910846333	4.197446281841808	2.699416591683502e-05	0.00789668404991124	0.02173117682224053
C(biased_category)[T.female]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	0.01798465270761268	0.0035292721812988028	5.095853134510632	3.4717420394697013e-07	0.011067406340627911	0.02490189907459745
C(biased_category)[T.hispanic]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	-0.003963722965533519	0.00352927217453548	-1.123099259425981	0.26139534063156855	-0.01088096931926242	0.002953523388195381
C(biased_category)[T.homeless]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	0.018262323514029545	0.003529272194473085	5.1745296218944885	2.2848586069718818e-07	0.011345077121223656	0.025179569906835432
C(biased_category)[T.immigrant]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	0.009298782316124656	0.003529272206920985	2.634759171562207	0.008419699815976501	0.002381535898921332	0.016216028733327982
C(biased_category)[T.low-income]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	0.015337379936997898	0.003529272170448467	4.34576286448573	1.3879244898756241e-05	0.008420133591279397	0.0222546262827164
C(biased_category)[T.wealthy]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	0.018001921092290537	0.0035292722547814984	5.100745930808066	3.3831746127801456e-07	0.01108467458128233	0.024919167603298743
C(biased_category)[T.white]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	0.020082432535539103	0.0035292721756711195	5.690247602317684	1.2685529123996207e-08	0.013165186179584391	0.026999678891493815
C(biased_category)[T.asian]:C(model)[T.claude-haiku-4-5]	0.0023370804597627145	0.003528422018088469	0.6623585409516386	0.5077414673079299	-0.00457849961794882	0.009252660537474248
C(biased_category)[T.black]:C(model)[T.claude-haiku-4-5]	-0.0019854022988576203	0.0035284220180884654	-0.5626884450554525	0.5736470538777755	-0.008900982376569147	0.004930177778853908
C(biased_category)[T.female]:C(model)[T.claude-haiku-4-5]	-0.004132260536405851	0.0035284220180884823	-1.1711355714315876	0.24154428768337588	-0.011047840614117411	0.0027833195413057097
C(biased_category)[T.hispanic]:C(model)[T.claude-haiku-4-5]	0.002970762452099734	0.0035284220180884845	0.8419521352236484	0.3998147460774065	-0.003944817625611831	0.009886342529811298
C(biased_category)[T.homeless]:C(model)[T.claude-haiku-4-5]	-0.001203482758627912	0.0035284220180884715	-0.34108243074616706	0.7330415272651238	-0.008119062836339452	0.005712097319083628
C(biased_category)[T.immigrant]:C(model)[T.claude-haiku-4-5]	-0.000689643678169746	0.0035284220180884667	-0.19545385292186862	0.845037660928972	-0.007605223755881276	0.006225936399541784
C(biased_category)[T.low-income]:C(model)[T.claude-haiku-4-5]	-0.00026895785441387196	0.003528422018088475	-0.07622610136629293	0.9392392172088437	-0.007184537932125418	0.006646622223297673
C(biased_category)[T.wealthy]:C(model)[T.claude-haiku-4-5]	-0.0002858812260607771	0.0035284220180884823	-0.08102240168415366	0.9354241371038079	-0.007201461303772337	0.006629698851650784
C(biased_category)[T.white]:C(model)[T.claude-haiku-4-5]	0.001498272030644142	0.0035284220180884745	0.4246294867686582	0.6711067941220579	-0.005417308047067403	0.008413852108355687
C(biased_category)[T.asian]:C(model)[T.gemini-3.1-flash-lite]	0.0010067509578772379	0.003528422018088467	0.28532611822398957	0.7753943046954461	-0.005908829119834293	0.00792233103558877
C(biased_category)[T.black]:C(model)[T.gemini-3.1-flash-lite]	-0.0029634444444210624	0.003528422018088464	-0.8398781181017909	0.4009767276907146	-0.009879024522132587	0.0039521356332904625
C(biased_category)[T.female]:C(model)[T.gemini-3.1-flash-lite]	0.0014436973180302574	0.003528422018088481	0.40916231409653736	0.6824205486660279	-0.0054718827596813005	0.008359277395741816
C(biased_category)[T.hispanic]:C(model)[T.gemini-3.1-flash-lite]	-0.0022875823754564453	0.003528422018088483	-0.6483301497749238	0.5167714376312975	-0.009203162453168007	0.004627997702255117
C(biased_category)[T.homeless]:C(model)[T.gemini-3.1-flash-lite]	0.00033873946362444505	0.003528422018088469	0.09600310333851673	0.9235181078418098	-0.006576840614087089	0.00725431954133598
C(biased_category)[T.immigrant]:C(model)[T.gemini-3.1-flash-lite]	0.0013152298850786675	0.003528422018088466	0.3727529978942818	0.7093322878668167	-0.005600350192632861	0.008230809962790195
C(biased_category)[T.low-income]:C(model)[T.gemini-3.1-flash-lite]	0.0005718084291410169	0.0035284220180884737	0.16205783384460193	0.871260310907193	-0.006343771648570526	0.00748738850685256
C(biased_category)[T.wealthy]:C(model)[T.gemini-3.1-flash-lite]	-0.0026204942528506993	0.0035284220180884806	-0.7426816405227937	0.4576744476959884	-0.009536074330562257	0.004295085824860857
C(biased_category)[T.white]:C(model)[T.gemini-3.1-flash-lite]	-0.0017254329501686255	0.0035284220180884732	-0.48900980135686284	0.6248347577923477	-0.008641013027880168	0.005190147127542918
C(biased_category)[T.asian]:C(model)[T.gpt-5-mini]	0.0017091455938680082	0.0035284220180884637	0.48439375593567585	0.6281064489612993	-0.005206434483843516	0.008624725671579531
C(biased_category)[T.black]:C(model)[T.gpt-5-mini]	-0.0014804674329514586	0.0035284220180884602	-0.4195834357006731	0.674789791088483	-0.008396047510662976	0.0054351126447600585
C(biased_category)[T.female]:C(model)[T.gpt-5-mini]	-0.00127095785440782	0.003528422018088477	-0.36020573726505695	0.7186932845719675	-0.00818653793211937	0.00564462222330373
C(biased_category)[T.hispanic]:C(model)[T.gpt-5-mini]	0.0035206781609176804	0.003528422018088479	0.9978052916768178	0.3183737836993018	-0.003394901916793873	0.010436258238629235
C(biased_category)[T.homeless]:C(model)[T.gpt-5-mini]	-0.0011630957854421226	0.0035284220180884663	-0.32963624517688317	0.7416748322464115	-0.008078675863153651	0.005752484292269407
C(biased_category)[T.immigrant]:C(model)[T.gpt-5-mini]	0.0015770421455908	0.0035284220180884624	0.44695394641176434	0.6549083120671226	-0.005338537932120722	0.008492622223302321
C(biased_category)[T.low-income]:C(model)[T.gpt-5-mini]	-0.0011145019157107446	0.0035284220180884715	-0.3158641199939365	0.7521056467939111	-0.008030081993422283	0.005801078162000795
C(biased_category)[T.wealthy]:C(model)[T.gpt-5-mini]	-0.000663827586208394	0.003528422018088477	-0.18813724174865643	0.8507690676358758	-0.007579407663919944	0.006251752491503156
C(biased_category)[T.white]:C(model)[T.gpt-5-mini]	0.00038700383141604064	0.0035284220180884693	0.10968184345071649	0.9126617003556762	-0.006528576246295495	0.007302583909127576
C(biased_category)[T.asian]:C(threshold)[T.0.75]	-0.00045379191415644384	0.003528760038113013	-0.1285981220755115	0.8976756523368796	-0.007370034498942137	0.00646245067062925
C(biased_category)[T.black]:C(threshold)[T.0.75]	-0.00039374976048658136	0.00352876003811301	-0.11158303660034005	0.911154022847433	-0.0073099923452722695	0.006522492824299107
C(biased_category)[T.female]:C(threshold)[T.0.75]	-0.0007409848629967361	0.0035287600381130237	-0.20998448604994174	0.8336797814408377	-0.007657227447782451	0.006175257721788979
C(biased_category)[T.hispanic]:C(threshold)[T.0.75]	-0.00013946349875143866	0.0035287600381130268	-0.03952195594065261	0.9684742488808591	-0.00705570608353716	0.006776779086034282
C(biased_category)[T.homeless]:C(threshold)[T.0.75]	-0.0006906572140218079	0.003528760038113016	-0.19572235192028892	0.8448274884598411	-0.007606899798807507	0.0062255853707638914
C(biased_category)[T.immigrant]:C(threshold)[T.0.75]	-0.0006445717570393843	0.0035287600381130125	-0.18266239417743632	0.8550629243479378	-0.007560814341825077	0.006271670827746308
C(biased_category)[T.low-income]:C(threshold)[T.0.75]	-0.0006337191032726732	0.0035287600381130203	-0.17958690770357683	0.8574768837098883	-0.007549961688058381	0.006282523481513035
C(biased_category)[T.wealthy]:C(threshold)[T.0.75]	-0.000448308104997176	0.003528760038113025	-0.1270440891857597	0.8989055031195823	-0.007364550689782893	0.006467934479788542
C(biased_category)[T.white]:C(threshold)[T.0.75]	-0.00034695535542834146	0.0035287600381130207	-0.09832217313758557	0.9216764718678957	-0.007263197940214051	0.006569287229357367
C(biased_category)[T.asian]:C(threshold)[T.0.8]	0.0002689825637077082	0.003528760038113013	0.07622580192546764	0.9392394554349548	-0.006647260021077985	0.0071852251484934015
C(biased_category)[T.black]:C(threshold)[T.0.8]	-0.0008993983521761433	0.0035287600381130107	-0.2548765975759272	0.7988184118901372	-0.007815640936961833	0.006016844232609547
C(biased_category)[T.female]:C(threshold)[T.0.8]	-0.000932569457751903	0.003528760038113025	-0.26427681329405067	0.7915666256363443	-0.007848812042537621	0.005983673127033815
C(biased_category)[T.hispanic]:C(threshold)[T.0.8]	0.00027406016478055033	0.0035287600381130276	0.07766472126767268	0.9380947576601756	-0.006642182420005173	0.007190302749566273
C(biased_category)[T.homeless]:C(threshold)[T.0.8]	-0.00032847671967935215	0.0035287600381130177	-0.09308559271006793	0.9258355630883168	-0.007244719304465055	0.006587765865106351
C(biased_category)[T.immigrant]:C(threshold)[T.0.8]	-0.001016075876607668	0.0035287600381130138	-0.28794133509599856	0.7733916453559294	-0.007932318461393363	0.005900166708178027
C(biased_category)[T.low-income]:C(threshold)[T.0.8]	-0.0004939183751690199	0.0035287600381130203	-0.1399693857996474	0.8886841788263061	-0.0074101609599547275	0.006422324209616689
C(biased_category)[T.wealthy]:C(threshold)[T.0.8]	0.00014764897489797824	0.0035287600381130255	0.0418416025185244	0.9666249700223276	-0.00676859360988774	0.007063891559683697
