model,mean_sd_f1,median_sd_f1,mean_f1_range,mean_cv
Llama-4-Maverick-17B-128E-Instruct-FP8,0.07033034303104503,0.06390682279694399,0.16553422222222225,0.11965279322670586
Llama-4-Scout-17B-16E-Instruct,0.10793112479735141,0.08750121713439188,0.2532413384467881,0.27754982600178385
claude-haiku-4-5,0.07900975362583884,0.0651806411912407,0.1883662394636015,0.1669884423401807
gemini-3.1-flash-lite,0.07970943268173611,0.07317432609870762,0.19099708620689654,0.10776466595568522
gpt-5-mini,0.05932516565647835,0.04882173696213602,0.14125780076628353,0.11753595252669902
