model,mean_jaccard,sd_jaccard
Llama-4-Maverick-17B-128E-Instruct-FP8,0.5810278145724947,0.1068614039882828
Llama-4-Scout-17B-16E-Instruct,0.5420606399484926,0.11013673204836441
claude-haiku-4-5,0.45503758403265376,0.10823986175269454
gemini-3.1-flash-lite,0.5253115462193766,0.09394926508095838
gpt-5-mini,0.022159855573707126,0.01659809792255716
