model,maximum_f1,minimum_f1,f1_gap,category_max_f1,category_min_f1,category_f1_std
Llama-4-Maverick-17B-128E-Instruct-FP8,0.6769259406698563,0.673153871770335,0.003772068899521308,wealthy,hispanic,0.0011966866634597426
Llama-4-Scout-17B-16E-Instruct,0.5545109731800766,0.5287244061302682,0.025786567049808418,wealthy,hispanic,0.010557370844380251
claude-haiku-4-5,0.5686119808612441,0.5636066564593302,0.005005324401913924,wealthy,female,0.0015500705104207768
gemini-3.1-flash-lite,0.799848876555024,0.7933804133971293,0.006468463157894733,female,hispanic,0.002037691379290118
gpt-5-mini,0.6098295157894738,0.607062828708134,0.002766687081339758,hispanic,black,0.000905487794113339
