model,min_f1,max_f1,f1_range
Llama-4-Maverick-17B-128E-Instruct-FP8,0.5612772899521532,0.7695823483253589,0.20830505837320568
Llama-4-Scout-17B-16E-Instruct,0.43571951149425286,0.6403800038314176,0.2046604923371647
claude-haiku-4-5,0.41970971674641144,0.6641657454545454,0.244456028708134
gemini-3.1-flash-lite,0.6697389339712918,0.8885270564593303,0.21878812248803847
gpt-5-mini,0.3959473703349283,0.6994838679425838,0.3035364976076555
