model,mean_precision,mean_recall,mean_f1,sd_f1,mean_tp,mean_fp,mean_fn,mean_gt_count,mean_pred_count
Llama-4-Maverick-17B-128E-Instruct-FP8,0.6394025435406699,0.7540374327272727,0.674918236937799,0.17986133654113284,5.778537799043062,3.288447846889952,2.1697875598086123,7.948325358851674,9.066985645933014
Llama-4-Scout-17B-16E-Instruct,0.5536822954022989,0.5695009406130268,0.5449577015325671,0.24038078535565957,4.630137931034483,3.576701149425287,3.8880613026819923,8.518199233716475,8.20683908045977
claude-haiku-4-5,0.7897455877511962,0.45117220095693783,0.5666775598086125,0.18954688901650896,7.039288038277512,1.8518124401913876,8.825783732057417,15.865071770334929,8.8911004784689
gemini-3.1-flash-lite,0.8046422262200956,0.7938064696650718,0.7969553133014354,0.14713304127255514,7.431035406698564,1.8315483253588516,1.9526966507177033,9.383732057416267,9.262583732057417
gpt-5-mini,0.8672082514832536,0.48013940937799043,0.6082482610526315,0.16895899526960423,6.927138755980861,1.0688612440191387,8.369511961722488,15.296650717703349,7.996
