difficulty,precision,recall,f1,n
easy,0.677534274509804,0.6291363670588235,0.6258976125490195,63750.0
hard,0.7523228200000001,0.5962516057894737,0.6366494047368423,190000.0
medium,0.7303706521408181,0.6109857070409135,0.6394311182683163,1051000.0
