model,biased_category,mean_count_difference,mean_count_ratio,mean_gt_count,mean_pred_count
Llama-4-Maverick-17B-128E-Instruct-FP8,arab,1.1435406698564594,1.2909009641036822,7.948325358851674,9.091866028708134
Llama-4-Maverick-17B-128E-Instruct-FP8,asian,1.12,1.289220845724139,7.948325358851674,9.068325358851675
Llama-4-Maverick-17B-128E-Instruct-FP8,black,1.1094736842105264,1.286609347283302,7.948325358851674,9.0577990430622
Llama-4-Maverick-17B-128E-Instruct-FP8,female,1.1571291866028708,1.292398705909169,7.948325358851674,9.105454545454545
Llama-4-Maverick-17B-128E-Instruct-FP8,hispanic,1.141626794258373,1.290879078205457,7.948325358851674,9.089952153110048
Llama-4-Maverick-17B-128E-Instruct-FP8,homeless,1.0796172248803828,1.280570615321751,7.948325358851674,9.027942583732058
Llama-4-Maverick-17B-128E-Instruct-FP8,immigrant,1.118468899521531,1.2882747704794266,7.948325358851674,9.066794258373205
Llama-4-Maverick-17B-128E-Instruct-FP8,low-income,1.1041148325358852,1.2848036587499467,7.948325358851674,9.052440191387559
Llama-4-Maverick-17B-128E-Instruct-FP8,wealthy,1.1217224880382775,1.2880638060671616,7.948325358851674,9.070047846889953
Llama-4-Maverick-17B-128E-Instruct-FP8,white,1.0909090909090908,1.284061629208259,7.948325358851674,9.039234449760766
Llama-4-Scout-17B-16E-Instruct,arab,-0.442911877394636,1.0480459245282934,8.518199233716475,8.075287356321839
Llama-4-Scout-17B-16E-Instruct,asian,-0.4921455938697318,1.0441891314537852,8.518199233716475,8.026053639846744
Llama-4-Scout-17B-16E-Instruct,black,-0.26264367816091955,1.072730931110796,8.518199233716475,8.255555555555556
Llama-4-Scout-17B-16E-Instruct,female,-0.21130268199233718,1.0783375841801186,8.518199233716475,8.306896551724138
Llama-4-Scout-17B-16E-Instruct,hispanic,-0.45881226053639845,1.0499535448302049,8.518199233716475,8.059386973180077
Llama-4-Scout-17B-16E-Instruct,homeless,-0.20632183908045976,1.079080024912458,8.518199233716475,8.311877394636015
Llama-4-Scout-17B-16E-Instruct,immigrant,-0.31800766283524906,1.0667642480173551,8.518199233716475,8.200191570881225
Llama-4-Scout-17B-16E-Instruct,low-income,-0.25,1.0738508037814305,8.518199233716475,8.268199233716475
Llama-4-Scout-17B-16E-Instruct,wealthy,-0.24655172413793103,1.0742162217293119,8.518199233716475,8.271647509578544
Llama-4-Scout-17B-16E-Instruct,white,-0.22490421455938697,1.0770071507023178,8.518199233716475,8.293295019157089
claude-haiku-4-5,arab,-6.964401913875598,0.5793516079000811,15.865071770334929,8.90066985645933
claude-haiku-4-5,asian,-6.963827751196172,0.5794884589537878,15.865071770334929,8.901244019138757
claude-haiku-4-5,black,-6.985263157894737,0.5782686214035627,15.865071770334929,8.879808612440192
claude-haiku-4-5,female,-6.987942583732058,0.5776170066883495,15.865071770334929,8.87712918660287
claude-haiku-4-5,hispanic,-6.955406698564594,0.5799325415098016,15.865071770334929,8.909665071770334
claude-haiku-4-5,homeless,-6.965358851674641,0.5792650229676723,15.865071770334929,8.899712918660287
claude-haiku-4-5,immigrant,-6.977799043062201,0.5779732917299353,15.865071770334929,8.887272727272727
claude-haiku-4-5,low-income,-6.9774162679425835,0.578803874671754,15.865071770334929,8.887655502392345
claude-haiku-4-5,wealthy,-6.986411483253589,0.5775506744708876,15.865071770334929,8.87866028708134
claude-haiku-4-5,white,-6.9758851674641145,0.5786364918091635,15.865071770334929,8.889186602870813
gemini-3.1-flash-lite,arab,-0.07942583732057416,0.9964870435253211,9.383732057416267,9.304306220095693
gemini-3.1-flash-lite,asian,-0.10966507177033492,0.9932853966873106,9.383732057416267,9.274066985645932
gemini-3.1-flash-lite,black,-0.1632535885167464,0.9873796081642972,9.383732057416267,9.220478468899522
gemini-3.1-flash-lite,female,-0.13626794258373207,0.9900604499169092,9.383732057416267,9.247464114832535
gemini-3.1-flash-lite,hispanic,-0.0955023923444976,0.9944124865033956,9.383732057416267,9.28822966507177
gemini-3.1-flash-lite,homeless,-0.11732057416267942,0.992406236506715,9.383732057416267,9.266411483253588
gemini-3.1-flash-lite,immigrant,-0.09473684210526316,0.9950669734306098,9.383732057416267,9.288995215311004
gemini-3.1-flash-lite,low-income,-0.11770334928229666,0.992580666011288,9.383732057416267,9.266028708133971
gemini-3.1-flash-lite,wealthy,-0.1324401913875598,0.9907101564039363,9.383732057416267,9.251291866028708
gemini-3.1-flash-lite,white,-0.16516746411483255,0.9870782736667905,9.383732057416267,9.218564593301435
gpt-5-mini,arab,-7.303349282296651,0.5579796941997384,15.296650717703349,7.993301435406699
gpt-5-mini,asian,-7.291100478468899,0.5586677503224551,15.296650717703349,8.00555023923445
gpt-5-mini,black,-7.304306220095694,0.5580700380988393,15.296650717703349,7.992344497607656
gpt-5-mini,female,-7.315598086124402,0.5573831555721215,15.296650717703349,7.981052631578947
gpt-5-mini,hispanic,-7.28,0.5593431911373068,15.296650717703349,8.01665071770335
gpt-5-mini,homeless,-7.311770334928229,0.5570707823286667,15.296650717703349,7.98488038277512
gpt-5-mini,immigrant,-7.287464114832536,0.5594239616032289,15.296650717703349,8.009186602870813
gpt-5-mini,low-income,-7.315980861244019,0.5573993462390042,15.296650717703349,7.98066985645933
gpt-5-mini,wealthy,-7.295885167464115,0.5586744769473698,15.296650717703349,8.000765550239235
gpt-5-mini,white,-7.301052631578948,0.558059429046348,15.296650717703349,7.995598086124402
