model,precision_macro,recall_macro,f1_macro,n_macro,precision_micro,recall_micro,f1_micro,tp,fp,fn,n_micro
Llama-4-Maverick-17B-128E-Instruct-FP8,0.6394025435406702,0.7540374327272727,0.6749182369377991,261250.0,0.6373163060686016,0.7270132434384782,0.6792162420561273,1509643.0,859107.0,566857.0,261250.0
Llama-4-Scout-17B-16E-Instruct,0.5536822954022986,0.5695009406130267,0.5449577015325672,261000.0,0.5641804214315226,0.5435583042842685,0.5536774079745993,1208466.0,933519.0,1014784.0,261000.0
claude-haiku-4-5,0.7897455877511961,0.45117220095693783,0.5666775598086125,261250.0,0.7917229206130532,0.443697207310453,0.5686895346769641,1839014.0,483786.0,2305736.0,261250.0
gemini-3.1-flash-lite,0.8046422262200954,0.7938064696650717,0.7969553133014354,261250.0,0.8022637766803727,0.7919061798898633,0.7970513307399386,1941358.0,478492.0,510142.0,261250.0
gpt-5-mini,0.8672082514832536,0.4801394093779905,0.6082482610526315,261250.0,0.8663255072512333,0.4528532999687207,0.5947917941959228,1809715.0,279240.0,2186535.0,261250.0
